Processing data...
HEAD http://localhost:9200/mini_data_train_search [status:200 duration:0.093s]
DELETE http://localhost:9200/mini_data_train_search [status:200 duration:0.175s]
PUT http://localhost:9200/mini_data_train_search [status:200 duration:0.614s]
loader length: 20
PUT http://localhost:9200/mini_data_train_search/_doc/1 [status:201 duration:0.362s]
PUT http://localhost:9200/mini_data_train_search/_doc/2 [status:201 duration:0.065s]
PUT http://localhost:9200/mini_data_train_search/_doc/3 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/4 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/5 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/6 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/7 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/8 [status:201 duration:0.029s]
PUT http://localhost:9200/mini_data_train_search/_doc/9 [status:201 duration:0.054s]
PUT http://localhost:9200/mini_data_train_search/_doc/10 [status:201 duration:0.045s]
PUT http://localhost:9200/mini_data_train_search/_doc/11 [status:201 duration:0.053s]
PUT http://localhost:9200/mini_data_train_search/_doc/12 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/13 [status:201 duration:0.024s]
PUT http://localhost:9200/mini_data_train_search/_doc/14 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/15 [status:201 duration:0.043s]
PUT http://localhost:9200/mini_data_train_search/_doc/16 [status:201 duration:0.040s]
PUT http://localhost:9200/mini_data_train_search/_doc/17 [status:201 duration:0.027s]
PUT http://localhost:9200/mini_data_train_search/_doc/18 [status:201 duration:0.052s]
PUT http://localhost:9200/mini_data_train_search/_doc/19 [status:201 duration:0.047s]
PUT http://localhost:9200/mini_data_train_search/_doc/20 [status:201 duration:0.050s]
PUT http://localhost:9200/mini_data_train_search/_doc/21 [status:201 duration:0.048s]
PUT http://localhost:9200/mini_data_train_search/_doc/22 [status:201 duration:0.044s]
PUT http://localhost:9200/mini_data_train_search/_doc/23 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/24 [status:201 duration:0.049s]
PUT http://localhost:9200/mini_data_train_search/_doc/25 [status:201 duration:0.053s]
PUT http://localhost:9200/mini_data_train_search/_doc/26 [status:201 duration:0.057s]
PUT http://localhost:9200/mini_data_train_search/_doc/27 [status:201 duration:0.050s]
